scout,match,robot,team,start,show,move,auto_coral_L1_num,auto_coral_L2_num,auto_coral_L3_num,auto_coral_L4_num,robot_reef_removal,robot_algae_picked,robot_net_score,robot_net_miss,proc_score,coral_L1_num,coral_L2_num,coral_L3_num,coral_L4_num,climb_attempt,ending,climb_time,driver,dead,card
RS,1,B3,3258,,TRUE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,No,FALSE,1,,No Card
SY,1,B1,1731,R3,FALSE,TRUE,0,0,0,1,TRUE,FALSE,0,0,0,0,0,2,7,TRUE,P,FALSE,5,FALSE,No Card
DK,1,R1,617,R3,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,P,FALSE,3,FALSE,No Card
AW,1,R2,540,R1,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,1,0,0,0,FALSE,No,FALSE,2,TRUE,No Card
ES,1,R3,4472,R2,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,0,0,TRUE,P,FALSE,1,FALSE,No Card
FL,1,B2,6802,R2,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,TRUE,P,FALSE,3,FALSE,No Card
AW,2,R2,614,R2,FALSE,TRUE,1,0,0,0,FALSE,FALSE,0,0,3,3,0,0,0,FALSE,No,FALSE,3,FALSE,No Card
RS,2,B3,9003,R2,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,2,1,0,0,1,FALSE,No,FALSE,3,FALSE,No Card
AY,2,R3,1599,R3,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,1,0,0,3,TRUE,P,FALSE,3,FALSE,No Card
FL,2,B2,339,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,2,2,0,FALSE,P,FALSE,3,FALSE,No Card
DK,2,R1,1599,R3,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,0,3,TRUE,P,FALSE,3,FALSE,No Card
SY,2,B1,2106,R1,FALSE,TRUE,0,0,0,1,TRUE,FALSE,0,0,1,0,1,2,5,TRUE,D,TRUE,5,FALSE,No Card
YR,3,B2,10257,R2,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,1,0,0,0,0,FALSE,P,FALSE,2,FALSE,No Card
AW,3,R2,1522,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,2,FALSE,No,FALSE,3,FALSE,No Card
KO,3,R3,10224,R1,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,1,0,0,0,0,FALSE,No,FALSE,2,FALSE,No Card
RS,3,B3,6326,R3,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,P,FALSE,3,FALSE,No Card
DK,3,R1,1086,R2,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,1,1,2,0,FALSE,No,FALSE,3,FALSE,No Card
SY,3,B1,1262,R1,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,1,1,FALSE,No,FALSE,3,FALSE,No Card
DK,4,R1,449,R1,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,1,9,FALSE,No,FALSE,5,FALSE,No Card
SY,4,B1,8592,R1,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,2,3,0,5,TRUE,No,FALSE,4,FALSE,No Card
KO,4,R3,3373,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,P,FALSE,2,FALSE,No Card
AW,4,R2,404,R3,FALSE,TRUE,0,0,0,0,TRUE,TRUE,0,0,3,0,0,0,0,FALSE,P,FALSE,3,FALSE,No Card
RS,4,B3,4505,R3,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,1,0,1,2,FALSE,No,FALSE,3,FALSE,No Card
FL,4,B2,2998,R2,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,No,FALSE,3,TRUE,No Card
SY,5,B1,10370,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,7,0,0,0,FALSE,P,FALSE,2,FALSE,No Card
KO,5,R3,346,R1,FALSE,TRUE,0,0,0,0,TRUE,TRUE,0,0,3,0,0,0,0,FALSE,P,FALSE,3,FALSE,No Card
FL,5,B2,9214,R1,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,No,FALSE,2,FALSE,No Card
RS,5,B3,2988,R2,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,No,FALSE,1,TRUE,No Card
AW,5,R2,9709,R3,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,TRUE,P,FALSE,3,FALSE,No Card
LJ,5,R1,1895,R2,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,0,0,FALSE,P,FALSE,2,FALSE,No Card
AW,6,R2,4286,,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,P,FALSE,3,FALSE,No Card
SY,6,B1,5804,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,1,FALSE,P,FALSE,2,FALSE,No Card
LJ,6,R1,3361,,TRUE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,No,FALSE,3,FALSE,No Card
FL,6,B2,5724,R2,FALSE,TRUE,0,0,0,0,TRUE,TRUE,0,0,1,0,0,1,0,FALSE,P,FALSE,3,FALSE,No Card
AY,6,B3,3258,R1,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,4,0,0,0,FALSE,P,FALSE,2,FALSE,No Card
KO,6,R3,1731,R2,FALSE,TRUE,0,0,0,2,TRUE,FALSE,0,0,0,0,0,0,5,TRUE,D,TRUE,5,FALSE,No Card
AY,7,B3,2998,R2,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,No,FALSE,2,FALSE,No Card
FL,7,B2,1522,R1,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,1,2,0,2,1,FALSE,P,FALSE,3,FALSE,No Card
SY,7,B1,6802,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,1,0,0,2,TRUE,No,TRUE,3,FALSE,No Card
LJ,7,R1,3373,R1,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,TRUE,D,FALSE,3,FALSE,No Card
KO,7,R3,2106,R3,FALSE,TRUE,0,1,0,0,TRUE,FALSE,1,1,2,0,1,2,5,TRUE,D,TRUE,5,FALSE,No Card
AW,7,R2,539,R2,FALSE,TRUE,1,0,0,0,FALSE,FALSE,0,0,0,2,0,3,0,FALSE,P,FALSE,4,FALSE,No Card
SY,8,B1,449,R3,FALSE,TRUE,1,0,0,0,FALSE,FALSE,0,0,0,0,3,2,5,FALSE,P,FALSE,5,FALSE,No Card
FL,8,B2,10370,R2,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,1,0,0,0,FALSE,P,FALSE,3,FALSE,No Card
AW,8,R2,617,R3,TRUE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,No,FALSE,3,FALSE,No Card
LJ,8,R1,346,R1,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,1,1,2,2,0,FALSE,P,FALSE,3,FALSE,No Card
RX,8,B3,339,R1,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,2,1,0,0,FALSE,P,FALSE,3,FALSE,No Card
KO,8,R3,6326,R2,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,No,FALSE,4,FALSE,No Card
AW,9,R2,614,R2,FALSE,TRUE,1,0,0,0,FALSE,FALSE,0,0,1,1,1,0,0,FALSE,P,FALSE,2,FALSE,No Card
SY,9,B1,9214,,FALSE,FALSE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,0,0,FALSE,P,FALSE,1,FALSE,No Card
FL,9,B2,1599,R1,FALSE,TRUE,1,0,0,0,TRUE,FALSE,0,0,0,0,0,2,0,TRUE,D,FALSE,3,FALSE,No Card
Frank,9,B3,8592,R3,FALSE,FALSE,0,0,0,1,TRUE,FALSE,0,0,0,1,0,0,5,TRUE,S,TRUE,5,FALSE,No Card
LJ,9,R1,4286,R1,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,P,FALSE,2,FALSE,No Card
Gl,9,R3,1895,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,1,0,0,3,TRUE,P,FALSE,3,FALSE,No Card
AW,10,R2,2988,,TRUE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,No,FALSE,3,FALSE,No Card
SY,10,B1,10224,R3,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,1,0,0,0,FALSE,No,FALSE,1,FALSE,No Card
GL,10,R3,404,R2,FALSE,TRUE,0,0,0,0,TRUE,TRUE,0,0,3,0,0,0,0,FALSE,No,FALSE,3,FALSE,No Card
LJ,10,R1,540,R1,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,2,2,0,FALSE,No,FALSE,4,FALSE,No Card
FL,10,B2,4472,R2,FALSE,TRUE,0,0,0,0,TRUE,FALSE,0,0,0,0,0,2,0,FALSE,P,FALSE,3,FALSE,No Card
Frank,10,B3,10257,R1,FALSE,TRUE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,P,FALSE,2,FALSE,No Card
GL,11,R3,9709,R3,FALSE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,P,FALSE,3,FALSE,No Card
JJ,11,B3,5724,R3,FALSE,TRUE,0,0,0,0,FALSE,TRUE,0,0,1,0,0,1,0,FALSE,P,FALSE,2,FALSE,No Card
YZ,11,B1,3361,R2,TRUE,FALSE,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,FALSE,No,FALSE,3,FALSE,No Card
